Aug 28, 2024 - 16:18:19 || ERROR || Server failed to start: __init__() got an unexpected keyword argument 'static_directory' || main.py ||47
Aug 28, 2024 - 16:18:35 || INFO || FastAPI started || fastapiweb.py ||173
Aug 28, 2024 - 16:18:50 || INFO || New Client Connected to This id : 2nuWwYowrZYyCU5yAAAB || fastapiweb.py ||71
Aug 28, 2024 - 16:18:55 || INFO || Client disconnected:  2nuWwYowrZYyCU5yAAAB || fastapiweb.py ||79
Aug 28, 2024 - 16:18:55 || INFO || New Client Connected to This id : D9u1-CaI5RK7LCfHAAAD || fastapiweb.py ||71
Aug 28, 2024 - 16:18:57 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 16:18:57 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 16:18:57 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 16:19:17 || INFO || Client disconnected:  D9u1-CaI5RK7LCfHAAAD || fastapiweb.py ||79
Aug 28, 2024 - 17:16:11 || INFO || FastAPI started || fastapiweb.py ||173
Aug 28, 2024 - 17:16:14 || INFO || New Client Connected to This id : F1VP8GStmm8A59kAAAAB || fastapiweb.py ||71
Aug 28, 2024 - 17:16:19 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 17:16:19 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 17:16:19 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 17:16:27 || INFO || Client disconnected:  F1VP8GStmm8A59kAAAAB || fastapiweb.py ||79
Aug 28, 2024 - 17:18:28 || INFO || FastAPI started || fastapiweb.py ||173
Aug 28, 2024 - 17:18:29 || INFO || New Client Connected to This id : nfcWzYXPaC0o5J9mAAAB || fastapiweb.py ||71
Aug 28, 2024 - 17:18:30 || INFO || Client disconnected:  nfcWzYXPaC0o5J9mAAAB || fastapiweb.py ||79
Aug 28, 2024 - 17:18:30 || INFO || New Client Connected to This id : Io04gae0Wesh0LcJAAAD || fastapiweb.py ||71
Aug 28, 2024 - 17:18:31 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 17:18:31 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 17:18:31 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 17:21:41 || INFO || Client disconnected:  Io04gae0Wesh0LcJAAAD || fastapiweb.py ||79
Aug 28, 2024 - 17:21:46 || INFO || FastAPI started || fastapiweb.py ||173
Aug 28, 2024 - 17:21:47 || INFO || New Client Connected to This id : _-RZsMT1jG1P-BXNAAAB || fastapiweb.py ||71
Aug 28, 2024 - 17:21:47 || INFO || Client disconnected:  _-RZsMT1jG1P-BXNAAAB || fastapiweb.py ||79
Aug 28, 2024 - 17:21:47 || INFO || New Client Connected to This id : iQaXMh-aGgFntAi6AAAD || fastapiweb.py ||71
Aug 28, 2024 - 17:21:50 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 17:21:50 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 17:21:50 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 17:23:08 || INFO || Client disconnected:  iQaXMh-aGgFntAi6AAAD || fastapiweb.py ||79
Aug 28, 2024 - 17:23:08 || INFO || New Client Connected to This id : EELykkCHtEabkbVQAAAF || fastapiweb.py ||71
Aug 28, 2024 - 17:23:10 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 17:23:10 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 17:23:10 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 17:23:18 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 17:23:18 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 17:23:18 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 17:23:26 || INFO || Client disconnected:  EELykkCHtEabkbVQAAAF || fastapiweb.py ||79
Aug 28, 2024 - 17:23:56 || INFO || FastAPI started || fastapiweb.py ||173
Aug 28, 2024 - 17:23:58 || INFO || New Client Connected to This id : oMRbf4dsgVGGZAAyAAAB || fastapiweb.py ||71
Aug 28, 2024 - 17:23:58 || INFO || Client disconnected:  oMRbf4dsgVGGZAAyAAAB || fastapiweb.py ||79
Aug 28, 2024 - 17:23:58 || INFO || New Client Connected to This id : gUUAhd1MxJRXk5EaAAAD || fastapiweb.py ||71
Aug 28, 2024 - 17:24:01 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 28, 2024 - 17:24:01 || INFO || Track received video || fastapiweb.py ||102
Aug 28, 2024 - 17:24:01 || INFO || Track added to PC || fastapiweb.py ||106
Aug 28, 2024 - 17:24:49 || INFO || Client disconnected:  gUUAhd1MxJRXk5EaAAAD || fastapiweb.py ||79
Aug 28, 2024 - 17:24:50 || INFO || New Client Connected to This id : 1XjzQbX5qxABxDuNAAAF || fastapiweb.py ||71
Aug 28, 2024 - 17:35:45 || INFO || Client disconnected:  1XjzQbX5qxABxDuNAAAF || fastapiweb.py ||79
Aug 29, 2024 - 09:08:10 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:08:24 || INFO || New Client Connected to This id : Wya_maQPVjblI3vLAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:08:34 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:08:34 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:08:35 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:08:45 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:08:45 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:08:45 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:10:17 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:10:17 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:10:17 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:11:59 || INFO || Client disconnected:  Wya_maQPVjblI3vLAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:12:09 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:12:14 || INFO || New Client Connected to This id : jXXYZYACYfQHiezuAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:12:17 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:12:17 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:12:17 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:12:29 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:12:29 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:12:29 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:12:53 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:12:53 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:12:53 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:14:02 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:14:02 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:14:02 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:18:18 || INFO || Client disconnected:  jXXYZYACYfQHiezuAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:18:25 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:18:26 || INFO || New Client Connected to This id : T80BLqICE1B1XAYoAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:18:26 || INFO || Client disconnected:  T80BLqICE1B1XAYoAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:18:26 || INFO || New Client Connected to This id : 4kEco0VRxlavVIYhAAAD || fastapiweb.py ||71
Aug 29, 2024 - 09:18:27 || INFO || Client disconnected:  4kEco0VRxlavVIYhAAAD || fastapiweb.py ||79
Aug 29, 2024 - 09:18:27 || INFO || New Client Connected to This id : 4lGGGtOVCZN14uixAAAF || fastapiweb.py ||71
Aug 29, 2024 - 09:18:29 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:18:29 || INFO || Track received video || fastapiweb.py ||102
